Word,Count
cheerfully,25
consign,1
perdition,2
wholesome,13
exercise,61
pure,29
prevalent,1
astern,28
violate,1
pythagorean,1
maxim,3
gets,20
atmosphere,13
second,144
sailors,55
breathes,7
commonalty,1
leaders,4
suspect,10
wherefore,16
repeatedly,3
smelt,4
merchant,18
invisible,20
police,3
fates,6
constant,14
surveillance,1
secretly,5
dogs,15
influences,11
unaccountable,16
wayhe,1
answer,87
formed,45
programme,1
providence,5
drawn,34
brief,15
interlude,4
solo,1
extensive,3
performances,10
bill,15
contested,2
election,4
presidency,1
affghanistan,1
exactly,51
managers,1
put,335
shabby,10
magnificent,4
tragedies,6
easy,80
genteel,3
comedies,1
jolly,44
farcesthough,1
recall,7
circumstances,32
springs,3
motives,6
cunningly,2
presented,30
various,70
disguises,1
induced,5
performing,13
cajoling,1
delusion,11
choice,14
unbiased,1
freewill,1
discriminating,1
judgment,15
overwhelming,3
idea,109
portentous,6
roused,9
wild,123
rolled,54
undeliverable,1
nameless,18
perils,23
attending,4
marvels,8
patagonian,4
sights,14
sounds,32
helped,37
sway,7
inducements,2
tormented,16
everlasting,15
itch,1
remote,12
forbidden,5
barbarous,3
coasts,7
ignoring,3
good,682
quick,67
perceive,10
horror,12
social,22
itwould,1
mesince,1
friendly,33
inmates,4
place,277
lodges,1
reason,114
welcome,37
floodgates,2
wonderworld,1
swung,27
conceits,5
swayed,5
floated,20
inmost,8
endless,17
processions,3
hooded,7
snow,30
shirt,12
tucked,11
started,41
cape,36
horn,29
quitting,6
manhatto,1
duly,7
arrived,25
bedford,18
saturday,17
december,8
disappointed,33
learning,43
packet,2
already,80
sailed,45
offer,31
following,208
monday,7
young,392
candidates,1
penalties,2
stop,78
embark,5
related,9
doing,80
craft,50
fine,146
boisterous,3
connected,24
famous,55
amazingly,6
pleased,33
gradually,15
monopolising,2
business,113
originalthe,1
tyre,1
carthagethe,1
aboriginal,4
redmen,2
sally,1
canoes,6
chase,56
adventurous,6
sloop,1
forth,92
partly,25
laden,5
imported,1
cobblestonesso,1
storyto,1
risk,8
harpoon,70
bowsprit,8
ere,81
destined,8
port,28
became,53
concernment,2
eat,55
meanwhile,35
dubiouslooking,1
nay,30
dark,93
dismal,21
bitingly,1
cold,69
cheerless,3
anxious,52
grapnels,2
sounded,24
pocket,29
pieces,15
silverso,1
wherever,14
stood,197
middle,74
dreary,11
shouldering,1
bag,26
comparing,7
gloom,17
north,17
darkness,32
southwherever,1
wisdom,22
conclude,9
lodge,4
dear,283
inquire,8
price,15
dont,671
halting,4
steps,29
paced,10
sign,55
crossed,15
harpoonsbut,1
looked,316
expensive,4
further,96
red,90
windows,17
swordfish,6
inn,13
fervent,3
rays,6
melted,6
packed,8
ice,34
house,180
everywhere,19
congealed,2
frost,10
inches,22
thick,42
asphaltic,1
pavementrather,1
weary,19
foot,56
flinty,1
projections,1
remorseless,6
service,29
soles,1
boots,47
miserable,21
plight,6
broad,59
glare,5
tinkling,4
last,464
door,125
patched,5
stopping,20
went,388
instinct,13
followed,71
took,236
cheapest,1
cheeriest,1
inns,2
blocks,6
blackness,11
houses,14
candle,8
tomb,9
hour,99
quarter,18
proved,34
deserted,15
presently,47
smoky,3
light,143
proceeding,10
low,66
building,8
invitingly,5
careless,11
meant,68
uses,86
entering,11
stumble,2
ashbox,1
porch,8
ha,43
flying,38
particles,1
choked,4
ashes,12
gomorrah,3
harpoons,30
swordfishthis,1
trap,2
picked,22
hearing,26
loud,24
pushed,21
opened,52
interior,12
black,137
sitting,69
tophet,2
faces,53
turned,168
rows,11
peer,2
beyond,41
angel,21
doom,18
negro,21
church,29
preachers,1
weeping,6
wailing,4
teethgnashing,1
muttered,28
backing,4
wretched,9
entertainment,2
dim,27
docks,5
forlorn,11
creaking,3
swinging,16
painting,9
faintly,6
representing,16
tall,58
jet,31
misty,3
spray,15
words,408
underneaththe,1
spouter,2
innpeter,1
coffinspouterrather,1
ominous,6
connexion,8
common,121
suppose,77
peter,6
emigrant,1
quiet,87
dilapidated,6
wooden,34
carted,2
ruins,9
burnt,24
district,6
povertystricken,1
creak,1
spot,36
cheap,8
lodgings,2
pea,2
coffee,18
placea,1
gableended,2
palsied,2
sharp,64
bleak,4
corner,57
tempestuous,7
euroclydon,5
kept,128
worse,48
howling,19
pauls,2
tossed,34
nevertheless,56
pleasant,105
zephyr,1
indoors,1
hob,1
toasting,3
bed,122
judging,4
says,100
writerof,1
possess,10
extantit,1
lookest,3
glass,45
window,75
outside,26
observest,1
sashless,1
both,329
wight,6
glazier,1
mindold,1
blackletter,1
reasonest,1
mine,121
pity,34
didnt,221
chinks,1
crannies,1
thrust,22
lint,1
improvements,3
universe,10
finished,30
copestone,2
chips,5
million,6
lazarus,5
chattering,2
curbstone,2
pillow,26
shaking,28
tatters,2
shiverings,1
plug,4
ears,44
rags,3
corncob,1
keep,225
dives,3
silken,3
wrapperhe,1
redder,8
afterwards,32
pooh,4
frosty,5
orion,1
glitters,1
lights,11
oriental,12
climes,6
conservatories,1
privilege,8
coals,8
holding,57
sumatra,6
lengthwise,12
along,154
equator,10
yea,16
fiery,28
pit,7
wonderful,36
iceberg,5
moored,9
moluccas,2
czar,6
palace,11
frozen,11
president,8
temperance,2
society,50
drinks,4
tepid,2
orphans,7
blubbering,1
awhaling,5
plenty,40
scrape,15
frosted,2
straggling,1
entry,11
oldfashioned,25
wainscots,1
reminding,2
